id_team	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	prob11	prob12	prob13	prob14	prob15	prob16	prob17	prob18	prob19	prob20	prob21	prob22	prob23	prob24	prob25	prob26	prob27	prob28	prob29	prob30
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	118.977	117.705	117.73	114.977	65	137.643	104	104	115.466	0	0	135.961	121.213	12	0	136	60	55	0	0	0	0	0	0	0	0	0	0
7	0	0	119.838	116.711	118	120	117	156	149.791	158.856	120	156.906	39	133.156	130.368	137.257	84	126	72	99	39	132	0	117	96	0	0	0	0	0
8	0	0	33	0	111.368	33	13	0	78	0	0	0	149.258	122.35	96	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0
9	0	0	110.984	111.972	116.693	117.529	117	91	132.027	140.405	118.307	147.72	39	108	96	72	84	84	84	99	78	60	0	145	72	0	0	0	0	0
10	0	0	112.561	88	115.406	110.535	26	78	117	52	110.286	13	39	72	96	48	60	48	84	88	13	24	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	111.246	88	99	112.212	13	65	39	52	88	0	13	121.564	96	24	72	72	60	11	0	24	0	0	0	0	0	0	0	0
13	0	0	114.303	44	110.305	116.037	78	39	104	52	114.415	39	39	128.722	96	48	60	60	60	44	0	48	0	146	0	0	0	0	0	0
14	0	0	110.178	55	99	77	0	0	0	0	111.051	0	0	84	96	0	84	60	12	0	0	0	0	0	0	0	0	0	0	0
15	0	0	116.645	99	117	118.159	117	144.44	104	52	119	117	39	132.855	124.041	128.753	84	84	60	99	52	134	0	149	36	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	111.523	55	66	111.838	26	117	104	0	111.821	0	0	108	96	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	11	0	55	22	0	0	0	0	0	0	0	125.866	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	115.676	55	110.152	88	52	65	91	52	114.128	26	0	60	96	24	48	60	0	0	0	24	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	110.445	55	110.829	77	52	78	78	104	114.771	26	39	120.423	96	60	60	60	60	44	39	129	0	52	24	0	0	0	0	0
23	0	0	112.195	99	113.46	110.742	13	78	91	52	113.13	0	26	122.947	96	0	60	72	96	88	0	128	0	13	0	0	0	0	0	0
24	0	0	99	88	114.529	114.503	39	104	104	52	114.909	78	13	108	96	72	72	108	60	77	0	135	0	151	72	0	0	0	0	0
25	0	0	111.104	11	111.833	111.061	117	104	65	0	99	0	0	60	96	24	84	72	0	55	0	0	0	0	0	0	0	0	0	0
26	0	0	110.574	33	88	22	26	78	78	52	88	0	13	130.168	96	0	36	48	0	44	0	24	0	13	12	0	0	0	0	0
27	0	0	112.513	44	112.638	112.835	0	65	104	0	99	0	13	60	96	0	48	24	12	33	0	0	0	0	0	0	0	0	0	0
28	0	0	117.302	115.111	120	119.131	117	145	117	117	116.915	148.311	159.712	120.657	121.803	131.225	96	132	139	99	65	96	0	160	96	0	0	0	0	0
29	0	0	113.376	88	110.736	113.408	91	104	117	152.401	110.804	104	0	132.872	122.908	127.428	84	132	0	44	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	11	88	22	22	13	26	65	52	110.805	0	13	36	96	24	36	48	60	44	0	36	0	26	24	0	0	0	0	0
32	0	0	110.317	77	111.691	116.395	39	0	104	0	112.807	0	13	60	72	0	84	0	60	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	0	110.189	99	110.179	111.469	117	78	117	91	117.528	91	39	120.261	120.465	129.324	24	125	108	115	0	138	0	0	0	0	0	0	0	0
